Student_ID,DOA,DOB,Department_Choices,Department_Admission
SID20131143,1/7/2013,5/2/1996,IDEPT7783,IDEPT7783
SID20131151,1/7/2013,31/7/1995,IDEPT6347,IDEPT6347
SID20131171,1/7/2013,5/9/1995,IDEPT1836,IDEPT1836
SID20131176,1/7/2013,12/1/1996,IDEPT8473,IDEPT8473
SID20131177,1/7/2013,30/7/1995,IDEPT5528,IDEPT5528
SID20131184,1/7/2013,7/7/1995,IDEPT5109,IDEPT5109
SID20131189,1/7/2013,19/2/1996,IDEPT8473,IDEPT8473
SID20131191,1/7/2013,17/11/1995,IDEPT3115,IDEPT3115
SID20131208,1/7/2013,27/5/1996,IDEPT6347,IDEPT6347
SID20131220,1/7/2013,9/11/1995,IDEPT2601,IDEPT2601
SID20131231,1/7/2013,7/1/1996,IDEPT2425,IDEPT2425
SID20131244,1/7/2013,14/3/1996,IDEPT1825,IDEPT1825
SID20131246,1/7/2013,11/7/1995,IDEPT5564,IDEPT5564
SID20131265,1/7/2013,24/11/1995,IDEPT6347,IDEPT6347
SID20131278,1/7/2013,30/12/1995,IDEPT5127,IDEPT5127
SID20131303,1/7/2013,8/2/1996,IDEPT5109,IDEPT5109
SID20131314,1/7/2013,7/6/1996,IDEPT2054,IDEPT2054
SID20131331,1/7/2013,3/12/1995,IDEPT2054,IDEPT2054
SID20131364,1/7/2013,3/7/1996,IDEPT5881,IDEPT5881
SID20131384,1/7/2013,3/6/1996,IDEPT1533,IDEPT1533
SID20131407,1/7/2013,8/1/1996,IDEPT1677,IDEPT1677
SID20131420,1/7/2013,5/11/1995,IDEPT3115,IDEPT3115
SID20131433,1/7/2013,2/9/1995,IDEPT3115,IDEPT3115
SID20131438,1/7/2013,8/12/1995,IDEPT8825,IDEPT8825
SID20131443,1/7/2013,6/8/1995,IDEPT3778,IDEPT3778
SID20131446,1/7/2013,16/3/1996,IDEPT2601,IDEPT2601
SID20131477,1/7/2013,23/5/1996,IDEPT3868,IDEPT3868
SID20131501,1/7/2013,21/8/1995,IDEPT4938,IDEPT4938
SID20131506,1/7/2013,16/12/1995,IDEPT7626,IDEPT7626
SID20131526,1/7/2013,1/12/1995,IDEPT3868,IDEPT3868
SID20131529,1/7/2013,26/7/1995,IDEPT1825,IDEPT1825
SID20131535,1/7/2013,17/11/1995,IDEPT1615,IDEPT1615
SID20131582,1/7/2013,9/11/1995,IDEPT7783,IDEPT7783
SID20131603,1/7/2013,10/5/1996,IDEPT1537,IDEPT1537
SID20131618,1/7/2013,1/12/1995,IDEPT2601,IDEPT2601
SID20131649,1/7/2013,23/3/1996,IDEPT8379,IDEPT8379
SID20131675,1/7/2013,1/5/1996,IDEPT1615,IDEPT1615
SID20131703,1/7/2013,6/3/1996,IDEPT1142,IDEPT1142
SID20131753,1/7/2013,15/1/1996,IDEPT8825,IDEPT8825
SID20131754,1/7/2013,23/6/1996,IDEPT7783,IDEPT7783
SID20131764,1/7/2013,8/9/1995,IDEPT8473,IDEPT8473
SID20131767,1/7/2013,7/12/1995,IDEPT3062,IDEPT3062
SID20131800,1/7/2013,24/6/1996,IDEPT6347,IDEPT6347
SID20131804,1/7/2013,20/1/1996,IDEPT1836,IDEPT1836
SID20131811,1/7/2013,27/10/1995,IDEPT8379,IDEPT8379
SID20131817,1/7/2013,22/4/1996,IDEPT4308,IDEPT4308
SID20131823,1/7/2013,26/11/1995,IDEPT5881,IDEPT5881
SID20131826,1/7/2013,10/7/1995,IDEPT1096,IDEPT1096
SID20131830,1/7/2013,3/5/1996,IDEPT8473,IDEPT8473
SID20131834,1/7/2013,18/12/1995,IDEPT6347,IDEPT6347
SID20131850,1/7/2013,20/6/1996,IDEPT2601,IDEPT2601
SID20131851,1/7/2013,22/10/1995,IDEPT7626,IDEPT7626
SID20131862,1/7/2013,3/8/1995,IDEPT8379,IDEPT8379
SID20131872,1/7/2013,7/5/1996,IDEPT3778,IDEPT3778
SID20131874,1/7/2013,28/11/1995,IDEPT1423,IDEPT1423
SID20131889,1/7/2013,17/1/1996,IDEPT5127,IDEPT5127
